State,Vehicle_type,Value,Year
CT,Combination Long-haul Trucks,5906.2167,2011
DC,Combination Long-haul Trucks,291.066,2011
DE,Combination Long-haul Trucks,1370.3753,2011
MA,Combination Long-haul Trucks,12969.808700000001,2011
MD,Combination Long-haul Trucks,15734.404900000001,2011
ME,Combination Long-haul Trucks,5815.0561,2011
NC,Combination Long-haul Trucks,24322.3244,2011
NH,Combination Long-haul Trucks,2349.6767,2011
NJ,Combination Long-haul Trucks,14882.7346,2011
NY,Combination Long-haul Trucks,17221.6819,2011
PA,Combination Long-haul Trucks,40803.4561,2011
RI,Combination Long-haul Trucks,1093.822,2011
VA,Combination Long-haul Trucks,41337.0653,2011
VT,Combination Long-haul Trucks,3246.8508,2011
WV,Combination Long-haul Trucks,10701.4072,2011
CT,Combination Short-haul Trucks,3139.1444,2011
DC,Combination Short-haul Trucks,427.08050000000003,2011
DE,Combination Short-haul Trucks,1970.2593,2011
MA,Combination Short-haul Trucks,6652.8836,2011
MD,Combination Short-haul Trucks,12793.3094,2011
ME,Combination Short-haul Trucks,4288.4166,2011
NC,Combination Short-haul Trucks,22115.4934,2011
NH,Combination Short-haul Trucks,1582.5923,2011
NJ,Combination Short-haul Trucks,5990.9176,2011
NY,Combination Short-haul Trucks,11154.5271,2011
PA,Combination Short-haul Trucks,27848.4064,2011
RI,Combination Short-haul Trucks,1008.3675,2011
VA,Combination Short-haul Trucks,20552.9969,2011
VT,Combination Short-haul Trucks,1124.0018,2011
WV,Combination Short-haul Trucks,6146.7039,2011
CT,Intercity Buses,88.477,2011
DC,Intercity Buses,142.36739999999998,2011
DE,Intercity Buses,644.6319,2011
MA,Intercity Buses,234.394,2011
MD,Intercity Buses,284.8077,2011
ME,Intercity Buses,683.3907,2011
NC,Intercity Buses,4117.6521,2011
NH,Intercity Buses,143.4796,2011
NJ,Intercity Buses,7128.5863,2011
NY,Intercity Buses,4758.1536,2011
PA,Intercity Buses,984.81,2011
RI,Intercity Buses,53.3034,2011
VA,Intercity Buses,2982.2005,2011
VT,Intercity Buses,336.7475,2011
WV,Intercity Buses,223.8106,2011
CT,Light Commercial Trucks,535.3397,2011
DC,Light Commercial Trucks,76.2209,2011
DE,Light Commercial Trucks,169.0221,2011
MA,Light Commercial Trucks,1000.8512,2011
MD,Light Commercial Trucks,937.4234,2011
ME,Light Commercial Trucks,138.7984,2011
NC,Light Commercial Trucks,2944.0984,2011
NH,Light Commercial Trucks,24.2161,2011
NJ,Light Commercial Trucks,1231.9533999999999,2011
NY,Light Commercial Trucks,1424.2514,2011
