State,Vehicle_type,Value
CT,Combination Long-haul Trucks,162.245395873
DC,Combination Long-haul Trucks,5.203437403000001
DE,Combination Long-haul Trucks,79.044261399
MA,Combination Long-haul Trucks,298.75484721
MD,Combination Long-haul Trucks,596.763024789
ME,Combination Long-haul Trucks,184.661307247
NC,Combination Long-haul Trucks,834.557372673
NH,Combination Long-haul Trucks,50.28815397
NJ,Combination Long-haul Trucks,652.423923949
NY,Combination Long-haul Trucks,1094.528481687
PA,Combination Long-haul Trucks,1819.87212445
RI,Combination Long-haul Trucks,58.364398087
VA,Combination Long-haul Trucks,1020.04759877
VT,Combination Long-haul Trucks,34.233119599
WV,Combination Long-haul Trucks,208.036100022
CT,Combination Short-haul Trucks,42.720622759
DC,Combination Short-haul Trucks,3.671280209
DE,Combination Short-haul Trucks,54.293235541
MA,Combination Short-haul Trucks,135.972277225
MD,Combination Short-haul Trucks,162.530094464
ME,Combination Short-haul Trucks,75.643027899
NC,Combination Short-haul Trucks,425.416130486
NH,Combination Short-haul Trucks,3.144859158
NJ,Combination Short-haul Trucks,322.582389339
NY,Combination Short-haul Trucks,284.562819243
PA,Combination Short-haul Trucks,493.3322562
RI,Combination Short-haul Trucks,17.076518419
VA,Combination Short-haul Trucks,185.707305744
VT,Combination Short-haul Trucks,27.318190768
WV,Combination Short-haul Trucks,102.24647859
CT,Intercity Buses,3.198180882
DC,Intercity Buses,7.941732764
DE,Intercity Buses,5.356959058
MA,Intercity Buses,58.453410313
MD,Intercity Buses,75.497242895
ME,Intercity Buses,20.530035983
NC,Intercity Buses,358.313552841
NH,Intercity Buses,5.260121188
NJ,Intercity Buses,77.230234385
NY,Intercity Buses,208.976857388
PA,Intercity Buses,9.385122534
RI,Intercity Buses,9.029314843
VA,Intercity Buses,124.499390861
VT,Intercity Buses,1.428204338
WV,Intercity Buses,33.547484811000004
CT,Light Commercial Trucks,49.184034017
DC,Light Commercial Trucks,12.342855255
DE,Light Commercial Trucks,9.722408902
MA,Light Commercial Trucks,73.41084143
MD,Light Commercial Trucks,67.000091457
ME,Light Commercial Trucks,20.180012056
NC,Light Commercial Trucks,176.872911276
NH,Light Commercial Trucks,24.401716078
NJ,Light Commercial Trucks,85.027713126
NY,Light Commercial Trucks,469.328981178
PA,Light Commercial Trucks,177.172349161
RI,Light Commercial Trucks,3.482735761
VA,Light Commercial Trucks,270.825915221
VT,Light Commercial Trucks,9.795067449
WV,Light Commercial Trucks,36.941933179
CT,Motor Homes,0.726900274
DC,Motor Homes,0.261657245
DE,Motor Homes,1.312354043
MA,Motor Homes,49.338770094
MD,Motor Homes,6.985580327
ME,Motor Homes,3.177784942
NC,Motor Homes,7.422760781
NH,Motor Homes,5.812608508
NJ,Motor Homes,5.492123476
NY,Motor Homes,11.232077988
PA,Motor Homes,77.107452595
RI,Motor Homes,3.944134457
VA,Motor Homes,2.5840770920000002
VT,Motor Homes,1.539302394
WV,Motor Homes,7.759649756
CT,Passenger Cars,40.835451080000006
DC,Passenger Cars,2.7619996589999998
DE,Passenger Cars,5.153888906
MA,Passenger Cars,47.102943409
MD,Passenger Cars,53.948626022
